STATECODE,LabelSchoolNameShort,LabelSchoolNameLong,DSTCODE,DISTRICTNAME,SchNameDistName,GRADECONFIG,ADDRESS,CITY,ZIP,CHARTER,CORECITY5,CORECITY6,MCSCHOOL,MCELEM,GRCONFIG,ELEM,MIDDLE,HIGH
28131,Birch Voc HS,Birch Vocational,28,Providence,"Birch Voc HS, Providence",High School,434 Mt. Pleasant Avenue,Providence,02908,Non-Charter,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
24112,Birchwood MS,Birchwood Middle School,24,North Providence,"Birchwood MS, North Providence",Middle School,10 Birchwood Drive,North Providence,02904,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
06117,Blackrock,Blackrock School,06,Coventry,"Blackrock, Coventry",Elementary School,12 LaCasa Drive,Coventry,02816,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 05,ELEM,,
26602,Blackstone Academy (HS),Blackstone Academy Charter,54,BLACKSTONE,"Blackstone Academy (HS), BLACKSTONE",High School,334 Pleasant Street,Pawtucket,02860,Charter School,Core City (5),Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
22101,Block Island Sch,Block Island School,22,New Shoreham,"Block Island Sch, New Shoreham",Elementary Middle High,High Street PO Box 1890,Block Island,02807,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,K - 12,ELEM,MIDDLE,HIGH
36101,Bradford,Bradford Elementary School,36,Westerly,"Bradford, Westerly",Elementary School,15 Church Street,Westerly,02808,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,PK - 04,ELEM,,
32114,Broad Rock MS,Broad Rock Middle School,32,South Kingstown,"Broad Rock MS, South Kingstown",Middle School,351 Broad Rock Road,South Kingstown,02879,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 06,ELEM,,
16106,Brown Ave,Brown Avenue School,16,Johnston,"Brown Ave, Johnston",Elementary School,14 Brown Avenue,Johnston,02919,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,01 - 05,ELEM,,
03109,Burrillville HS,Burrillville High School,03,Burrillville,"Burrillville HS, Burrillville",High School,425 East Ave,Burrillville,02830,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,09 - 12,,,HIGH
03104,Burrillville MS,Burrillville Middle School,03,Burrillville,"Burrillville MS, Burrillville",Middle School,2220 Bronco Highway,Burrillville,02830,Non-Charter,Non Core City (5),Non Core City (6),Non MC School,Non MC Elem School,06 - 08,,MIDDLE,
