school1,DCFY_atrisk_DENOM,SUMDCFY_atrisk_Flag,ALL_RISKS,meanDCFY_atrisk_FLAG,total_enroll_mean,SUM_touch_DCYF_2008,number_of_students,pct_atrisk,PCT_teen_mom,M_mt_2healthrisks_intract,M_ever_retained_prior0809,M_Ever_Poverty_prior0809,M_Chronic_abs_0708,M_SchMoves_GT_2_ever,TouchDCYF_per1000,at_risk_school,violence_susp_per1000,Disaffection_susp_per1000,ANGER_susp_per1000,SUBSTANCEUSE_susp_per1000,PCT_Reading_Proficiency,PCT_MATH_Proficiency,ATRISK_06_P,ATRISK_07_P,ATRISK_08_P,ATRISK_09_P,ATRISK_10_P,ATRISK_11_P,ATRISK_12_P,NONRISK_06_P,NONRISK_07_P,NONRISK_08_P,NONRISK_09_P,NONRISK_10_P,NONRISK_11_P,NONRISK_12_P,M_touch_Ever_AV_sch_2008,
28151,26,6,1.65,0.23,1.04,0.00,26.00,23.08, ,50.00,7.69,88.00,20.00,3.85,0.00,1.00,38.46,38.46, , ,50.00,45.83,23.08, , , , , , ,76.92, , , , , , ,0.00,
28158,1,0,1.00,0.00,2.00,0.00,1.00,0.00, ,100.00,0.00, , ,0.00,0.00,0.00, , , , , ,0.00,0.00, , , , , , ,100.00, , , , , , ,0.00,
28161,26,6,2.23,0.23,1.15,0.00,26.00,23.08, ,88.46,7.69,100.00,23.08,3.85,0.00,1.00,38.46,153.85, ,38.46,42.31,26.92,23.08, , , , , , ,76.92, , , , , , ,0.00,
28163,31,3,1.42,0.10,1.26,0.00,31.00,9.68, ,16.67,6.45,93.55,26.67,0.00,0.00,0.00, , , , ,48.15,29.63,9.68, , , , , , ,90.32, , , , , , ,0.00,
28164,1053,496,2.34,0.47,1.04,0.00,1053.00,47.10,0.00,48.86,0.76,74.00,16.91,0.66,0.00,1.00,14.25,10.45,0.95, ,96.62,58.10, , , ,43.63,51.98,44.88,48.26, , , ,56.37,48.02,55.12,51.74,100.00,
28167,160,67,2.34,0.42,1.24,1.00,160.00,41.88,0.00,60.38,48.75,97.48,25.32,3.13,6.25,1.00,150.00,100.00,12.50, ,48.08,15.38, ,64.94,20.48, , , , , ,35.06,79.52, , , , ,0.00,
28170,372,40,1.67,0.11,1.08,0.00,372.00,10.75,0.00,58.65,5.11,91.30,12.33,0.81,0.00,0.00,18.82,51.08,5.38, ,61.47,43.93,9.59,10.61,4.84,16.67,11.63,16.22,6.45,90.41,89.39,95.16,83.33,88.37,83.78,93.55,0.00,
28172,740,235,2.20,0.32,1.31,7.00,740.00,31.76,0.00,78.40,9.32,98.05,35.88,5.68,9.46,1.00,237.84,425.68,44.59,6.76,33.89,20.87,21.50,39.44,32.85, , , , ,78.50,60.56,67.15, , , , ,0.00,
28178,222,43,1.89,0.19,1.08,0.00,222.00,19.37,0.00,67.58,2.25,97.62,26.60,0.90,0.00,0.00,45.05,49.55, , ,50.00,5.26, , , ,15.49,16.67,30.61,16.67, , , ,84.51,83.33,69.39,83.33,2.25,
28179,427,170,2.33,0.40,1.21,16.00,427.00,39.81,1.42,71.33,16.16,95.49,46.49,5.15,37.47,1.00,37.47,49.18,11.71, ,43.94,4.55, , , ,41.78,42.54,34.48,36.67, , , ,58.22,57.46,65.52,63.33,3.04,
28180,40,14,2.23,0.35,1.18,0.00,40.00,35.00, ,76.32,12.50,97.44,33.33,10.00,0.00,1.00,25.00,25.00, , ,26.47,11.43,35.00, , , , , , ,65.00, , , , , , ,0.00,
28181,83,31,2.23,0.37,1.19,0.00,83.00,37.35, ,76.83,22.89,98.78,27.16,0.00,0.00,1.00,120.48,84.34,96.39, ,35.90,26.92,37.35, , , , , , ,62.65, , , , , , ,0.00,
28182,478,149,2.14,0.31,1.36,8.00,478.00,31.17,0.00,69.40,10.88,98.46,39.19,5.65,16.74,1.00,255.23,451.88,73.22,10.46,44.60,23.76,27.91,30.66,31.98,100.00, , , ,72.09,69.34,68.02,0.00, , , ,0.00,
28187,409,306,3.18,0.75,1.37,28.00,409.00,74.82,0.96,48.62,17.60,95.75,54.57,6.60,68.46,1.00,63.57,78.24,9.78, ,57.81,1.56, , ,100.00,80.00,79.02,69.57,60.38, , ,0.00,20.00,20.98,30.43,39.62,100.00,
28188,453,173,2.30,0.38,1.15,5.00,453.00,38.19,3.04,78.48,9.71,97.04,46.90,1.99,11.04,1.00,55.19,103.75,6.62, ,40.63,1.49, , , ,40.63,41.35,39.00,29.21, , , ,59.38,58.65,61.00,70.79,2.43,
28189,438,174,2.29,0.40,1.18,4.00,438.00,39.73,2.07,77.88,13.93,97.32,44.03,5.25,9.13,1.00,41.10,52.51,6.85,2.28,32.35,4.23, , , ,38.98,46.83,39.00,31.91, , , ,61.02,53.17,61.00,68.09,2.74,
28193,290,152,2.59,0.52,1.19,2.00,290.00,52.41,5.93,75.86,17.93,99.30,60.49,4.14,6.90,1.00,62.07,182.76,13.79, ,0.00,0.00, , ,100.00,48.65,54.24,66.67,63.64, , ,0.00,51.35,45.76,33.33,36.36,3.45,
28601,106,12,1.56,0.11,1.04,0.00,106.00,11.32,0.00,44.34,6.60,85.85,18.87,0.00,0.00,0.00,56.60,56.60,9.43, ,48.11,22.64,16.22,8.33,9.09, , , , ,83.78,91.67,90.91, , , , ,0.00,
28602,145,19,1.57,0.13,1.00,0.00,145.00,13.10,0.00,48.97,8.97,88.97,7.64,2.07,0.00,0.00,20.69, , , ,62.76,50.34,16.98,10.42,11.36, , , , ,83.02,89.58,88.64, , , , ,0.00,
28603,547,241,2.25,0.44,1.29,23.00,547.00,44.06,2.03,62.71,18.83,96.27,52.31,4.20,42.05,1.00,76.78,45.70,14.63, ,59.26,9.76, , ,0.00,52.49,39.31,34.75,47.06, , ,100.00,47.51,60.69,65.25,52.94,3.66,
28605,433,173,2.24,0.40,1.30,18.00,433.00,39.95,1.78,54.33,18.94,94.69,51.11,6.47,41.57,1.00,34.64,23.09,6.93, ,67.24,13.79, , , ,46.45,44.34,32.94,29.89, , , ,53.55,55.66,67.06,70.11,8.08,
28702,53,2,0.94,0.04,1.04,0.00,53.00,3.77,0.00,19.61,1.89,61.54,13.73,0.00,0.00,0.00, , , , ,7.14,0.00,0.00,0.00,0.00,0.00,0.00,14.29,11.11,100.00,100.00,100.00,100.00,100.00,85.71,88.89,0.00,
28703,682,135,1.64,0.20,1.09,4.00,682.00,19.79,1.95,42.46,15.84,77.51,26.72,2.93,5.87,0.00,17.60,14.66,2.93,1.47,59.88,4.07, , ,100.00,34.26,17.87,18.81,13.41, , ,0.00,65.74,82.13,81.19,86.59,2.05,
30104,544,13,1.19,0.02,1.02,0.00,544.00,2.39,0.00,0.00,0.18,9.36,9.64,0.55,0.00,0.00,44.12,110.29,9.19,1.84,81.36,42.37, , , ,4.83,2.24,1.39,0.83, , , ,95.17,97.76,98.61,99.17,100.00,
30105,426,1,0.21,0.00,1.01,0.00,426.00,0.23,0.00,0.24,0.00,14.73,5.24,0.70,0.00,0.00,44.60,68.08,9.39, ,85.58,71.16,0.78,0.00,0.00, , , , ,99.22,100.00,100.00, , , , ,0.00,
31107,890,62,1.34,0.07,1.07,17.00,890.00,6.97,0.00,0.57,2.25,16.72,13.78,1.24,19.10,0.00,16.85,119.10,4.49,3.37,84.21,29.24, , , ,8.87,8.46,6.07,4.41, , , ,91.13,91.54,93.93,95.59,100.00,
31109,627,16,0.30,0.03,1.06,9.00,627.00,2.55,0.00,1.61,1.44,18.14,8.20,1.44,14.35,0.00,27.11,7.97,1.59, ,82.89,68.52,0.56,2.50,4.33, , , , ,99.44,97.50,95.67, , , , ,0.00,
32108,1258,100,1.35,0.08,1.05,10.00,1258.00,7.95,0.33,0.24,1.11,18.37,14.73,1.03,7.95,0.00,16.69,55.64,5.56,3.97,88.84,49.15, , , ,7.14,6.90,10.00,7.69, , , ,92.86,93.10,90.00,92.31,100.00,
32110,459,2,0.27,0.00,1.05,0.00,459.00,0.44,0.00,0.44,0.22,15.75,10.00,1.09,0.00,0.00,19.61,13.07,6.54, ,85.10,80.81,0.00,0.65,0.65, , , , ,100.00,99.35,99.35, , , , ,0.00,
32114,452,5,0.37,0.01,1.07,0.00,452.00,1.11,0.00,0.22,0.44,23.92,11.76,1.55,0.00,0.00,8.85,2.21, , ,82.34,77.73,0.65,1.40,1.29, , , , ,99.35,98.60,98.71, , , , ,0.00,
32115,10,0,0.80,0.00,1.30,0.00,10.00,0.00,0.00,0.00,0.00,60.00,20.00,0.00,0.00,0.00, , , , , , , , , , ,0.00,0.00,0.00, , , , ,100.00,100.00,100.00,0.00,
33108,666,35,1.31,0.05,1.03,1.00,666.00,5.26,0.00,0.15,1.20,20.06,10.26,0.45,1.50,0.00,12.01,67.57,3.00,1.50,83.70,25.93, , , ,7.56,7.88,2.38,3.11, , , ,92.44,92.12,97.62,96.89,100.00,
33110,481,6,0.38,0.01,1.06,2.00,481.00,1.25,0.00,0.64,0.62,28.04,9.19,1.25,4.16,0.00,110.19,114.35,18.71, ,72.51,69.76,1.32,1.27,1.17, , , , ,98.68,98.73,98.83, , , , ,0.00,
35101,43,0,0.56,0.00,1.02,0.00,43.00,0.00, ,0.00,0.00,45.24,11.90,0.00,0.00,0.00,46.51, , , ,69.77,55.81,0.00, , , , , , ,100.00, , , , , , ,0.00,
35104,64,6,1.08,0.09,1.22,0.00,64.00,9.38, ,3.28,6.25,65.08,31.15,4.69,0.00,0.00,15.63, ,15.63, ,62.71,50.85,9.38, , , , , , ,90.63, , , , , , ,0.00,
35114,42,2,0.50,0.05,1.14,0.00,42.00,4.76, ,0.00,0.00,28.57,16.67,4.76,0.00,0.00, , , , ,90.48,71.43,4.76, , , , , , ,95.24, , , , , , ,0.00,
35118,639,8,0.55,0.01,1.05,1.00,639.00,1.25,0.00,1.26,1.25,38.63,13.04,1.56,1.56,0.00,62.60,137.72,3.13, ,77.00,54.15, ,1.00,1.47, , , , , ,99.00,98.53, , , , ,0.16,
35119,58,0,0.38,0.00,1.00,0.00,58.00,0.00, ,0.00,0.00,29.31,7.02,1.72,0.00,0.00,51.72, , , ,76.79,60.71,0.00, , , , , , ,100.00, , , , , , ,0.00,
35120,594,15,0.59,0.03,1.07,0.00,594.00,2.53,0.00,0.68,2.19,44.14,11.74,2.02,0.00,0.00,62.29,38.72,6.73, ,66.38,50.17, ,2.99,2.05, , , , , ,97.01,97.95, , , , ,0.00,
35121,44,0,0.59,0.00,1.05,0.00,44.00,0.00, ,0.00,0.00,43.18,15.91,0.00,0.00,0.00,22.73, ,22.73, ,80.95,61.90,0.00, , , , , , ,100.00, , , , , , ,0.00,
35123,45,0,0.56,0.00,1.02,0.00,45.00,0.00, ,0.00,0.00,42.22,11.36,2.22,0.00,0.00, , , , ,79.55,72.73,0.00, , , , , , ,100.00, , , , , , ,0.00,
35124,50,0,0.64,0.00,1.04,0.00,50.00,0.00, ,0.00,0.00,50.00,14.29,0.00,0.00,0.00,20.00, , , ,82.00,62.00,0.00, , , , , , ,100.00, , , , , , ,0.00,
