school_year,LabelStateCode,LabelSchoolNameShort,LabelSchoolNameLong,LabelDistCode,LabelDistrict,LabelSch+District,LabelGradeConfig,LabelCharterSch,LabelSchCoreCity4,LabelSchCoreCity5,LabelSchCoreCity6,LabelGradeConfigAbbr,LabelSchCity,LabelElementary,LabelMiddle,LabelHigh,LabelSchMCSch,LabelSchMCElemSch,ACT_CEEB_code,nces_code,ctract2010,ctract2000,neighborhood
2011-2012,33110,Tiverton MS,Tiverton Middle School,33,Tiverton,Tiverton MS - Tiverton,Middle,N,N,N,N,5 to 8,Tiverton,N,Y,N,N,N,,440105000275,44005041701,44005041700,
2011-2012,35101,Norwood,Norwood School,35,Warwick,Norwood - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000298,44003021100,44003021100,
2011-2012,35104,Oakland Beach,Oakland Beach Elementary School,35,Warwick,Oakland Beach - Warwick,Elementary,N,N,N,N,PK to 6,Warwick,Y,N,N,N,N,,440111000299,44003021700,44003021700,
2011-2012,35114,Greenwood,Greenwood School,35,Warwick,Greenwood - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000291,44003022100,44003022100,
2011-2012,35118,Aldrich JHS,Aldrich Junior High School,35,Warwick,Aldrich JHS - Warwick,Middle,N,N,N,N,7 to 8,Warwick,N,Y,N,N,N,,440111000283,44003021001,44003021000,
2011-2012,35119,Wyman,Wyman School,35,Warwick,Wyman - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000312,44003021002,44003021000,
2011-2012,35120,Gorton JHS,Gorton Junior High School,35,Warwick,Gorton JHS - Warwick,Middle,N,N,N,N,7 to 8,Warwick,N,Y,N,N,N,,440111000289,44003021502,44003021502,
2011-2012,35121,Robertson,E. G. Robertson School,35,Warwick,Robertson - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000304,44003021903,44003021903,
2011-2012,35123,Lippitt,Lippitt School,35,Warwick,Lippitt - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000296,44003021902,44003021902,
2011-2012,35124,Holden,Randall Holden School,35,Warwick,Holden - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000292,44003021401,44003021401,
2011-2012,35125,Francis,Francis School,35,Warwick,Francis - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000288,44003021300,44003021300,
2011-2012,35127,Sherman,Sherman School,35,Warwick,Sherman - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000306,44003021800,44003021800,
2011-2012,35128,Holliman,Holliman School,35,Warwick,Holliman - Warwick,Elementary,N,N,N,N,PK to 6,Warwick,Y,N,N,N,N,,440111000293,44003021200,44003021200,
2011-2012,35129,Wickes,John Wickes School,35,Warwick,Wickes - Warwick,Elementary,N,N,N,N,PK to 6,Warwick,Y,N,N,N,N,,440111000310,44003021901,44003021901,
2011-2012,35130,Warwick Vet. Mem. HS,Warwick Veterans Memorial High School,35,Warwick,Warwick Vet. Mem. HS - Warwick,High,N,N,N,N,9 to 12,Warwick,N,N,Y,N,N,400240,440111000309,44003021800,44003021800,
2011-2012,35131,Cedar Hill,Cedar Hill School,35,Warwick,Cedar Hill - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000285,44003022201,44003022201,
2011-2012,35132,Park,Park School,35,Warwick,Park - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000300,44003021903,44003021903,
2011-2012,35133,Warwick Neck,Warwick Neck School,35,Warwick,Warwick Neck - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000308,44003021502,44003021502,
2011-2012,35134,Pilgrim HS,Pilgrim High School,35,Warwick,Pilgrim HS - Warwick,High,N,N,N,N,9 to 12,Warwick,N,N,Y,N,N,400239,440111000301,44003021200,44003021200,
2011-2012,35135,Scott,Harold F. Scott School,35,Warwick,Scott - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000305,44003022202,44003022202,
2011-2012,35136,Hoxsie,Cottrell F. Hoxsie School,35,Warwick,Hoxsie - Warwick,Elementary,N,N,N,N,K to 6,Warwick,Y,N,N,N,N,,440111000294,44003021402,44003021402,
2011-2012,35137,Drum Rock,Drum Rock Early Childhood Center,35,Warwick,Drum Rock - Warwick,Elementary,N,N,N,N,PK to K,Warwick,Y,N,N,N,N,,440111000287,44003022202,44003022202,
2011-2012,35138,Toll Gate HS,Toll Gate High School,35,Warwick,Toll Gate HS - Warwick,High,N,N,N,N,9 to 12,Warwick,N,N,Y,N,N,400237,440111000307,44003022202,44003022202,
2011-2012,35139,Winman JHS,Winman Junior High School,35,Warwick,Winman JHS - Warwick,Middle,N,N,N,N,7 to 8,Warwick,N,Y,N,N,N,,440111000311,44003022202,44003022202,
2011-2012,36101,Bradford,Bradford Elementary School,36,Westerly,Bradford - Westerly,Elementary,N,N,N,N,PK to 4,Bradford,Y,N,N,N,N,,440117000375,44009050902,44009050902,
